Difficulty,Date,DurationSeconds,Player1Name,Player2Name,CombinedScore,RemainingHearts
HARD,2025-12-27,522,Sarah,Mike,143,1
EASY,2025-12-28,230,ana,mosh ana,87,10
MEDIUM,2025-12-28,420,Aya,mosh Aya,111,3
MEDIUM,2025-12-28,420,Maya,mosh Maya,123,1
EASY,2025-12-28,420,Khalil,mosh khalil,134,2
HARD,2025-12-26,680,Chris,Taylor,187,0
MEDIUM,2025-12-28,420,Sam,Riley,132,2
EASY,2025-12-28,420,Morgan,Casey,75,5
EASY,2026-01-08,109,Player1,Player2,59,7
EASY,2026-01-08,147,d,a,92,10
EASY,2026-01-08,160,try,try2,81,9
EASY,2026-01-08,169,d,a,69,5
EASY,2026-01-11,74,f,d,54,8
HARD,2026-01-15,85,player1,player2,-31,0
HARD,2026-01-15,94,player1,player2,31,0
MEDIUM,2026-01-15,190,player1,player2,6,0
EASY,2026-01-16,95,Player 1,SlothAI,1,0
EASY,2026-01-16,89,Player 1,SlothAI,-16,0
EASY,2026-01-16,251,Player 1,SlothAI,48,4
EASY,2026-01-16,104,Player 1,SlothAI,28,1
EASY,2026-01-16,207,Player 1,SlothAI,7,6
MEDIUM,2026-01-16,786,Player 1,SlothAI,53,0
EASY,2026-01-17,321,Player 1,SlothAI,47,4
HARD,2026-01-23,978,Player 1,SlothAI,-9,0
EASY,2026-01-23,77,Player 1,player2,26,8
EASY,2026-01-23,230,Player 1,player2,47,8
